   nstate   alpha_xy    alpha_yx
    0      0.0000000000      0.0000000000
    1      0.0000000000      0.0000000000
    2      0.0000000000      0.0000000000
    3      0.0328791389      0.0408491540
    4      0.0328791389      0.0408491540
    5     -0.0037226523      0.0120592737
    6     -0.1107128136     -0.0753653962
    7     -0.0255535525     -0.0038967880
    8     -0.0255535525     -0.0038967880
    9     -0.1366036386     -0.1340074609
   10     -0.1366036386     -0.1340074609
   11     -0.1366036386     -0.1340074609
   12      0.1934856476      0.1479027293
   13     -0.1338577011     -0.2401708465
   14     -0.1338577011     -0.2401708465
   15      0.3877134168      0.2044111564
   16      0.4115187058      0.2323278100
   17      0.4115187058      0.2323278100
   18      0.4115187058      0.2323278100
   19      0.4115187058      0.2323278100
   20      0.4301534552      0.2537868356
   21      0.4301534552      0.2537868356
   22      0.8345810427      0.6083970927
   23      0.9229378982      0.6857287173
   24      0.9229378982      0.6857287173
   25     -0.1886909250     -0.5774816513
   26     -0.1886909250     -0.5774816513
   27     -0.1342025161     -0.5155837604
   28      0.1515289759     -0.1890431548
   29      0.0152145774     -0.3088263402
   30      0.0152145774     -0.3088263402
   31      0.0152145774     -0.3088263402
   32      0.1627186159     -0.1424221789
   33      0.1627734028     -0.1423736851
   34      0.1627734028     -0.1423736851
   35      0.1627734028     -0.1423736851
   36      0.2187499846     -0.0933786373
   37      0.2187499846     -0.0933786373
   38      0.2187499846     -0.0933786373
   39      1.6014964446      1.4628452741
   40      1.6014964446      1.4628452741
   41      1.6324736241      1.4903634754
   42      1.6547010561      1.5100588737
   43      1.6658558363      1.5226568909
   44      1.6658558363      1.5226568909
   45      1.6658558363      1.5226568909
   46      1.6658558363      1.5226568909
   47      1.7303355096      1.5947645581
   48      1.7303355096      1.5947645581
   49      1.6886558014      1.5577323285
   50      1.7575046563      1.6341209110
   51      1.7575046563      1.6341209110
   52      1.7714111826      1.6495659728
   53      1.6715790611      1.5600647241
   54      1.6715790611      1.5600647241
   55      1.6715790611      1.5600647241
   56      1.6715790611      1.5600647241
   57      1.6417232648      1.5332696036
   58      1.6435582488      1.5353030558
   59      1.6435582488      1.5353030558
   60      1.6098097648      1.5049397803
   61      1.6098097648      1.5049397803
   62      1.6101431782      1.5053092873
   63      1.6175978169      1.5120570562
   64      1.6175978169      1.5120570562
   65      1.6175978169      1.5120570562
   66      1.6175978169      1.5120570562
   67      1.6175978169      1.5120570562
   68      1.7465242020      1.6558120811
   69      1.7465242020      1.6558120811
   70      1.6889465264      1.6037048880
   71      1.7223177371      1.6340242932
   72      1.7223177371      1.6340242932
   73      1.7218517329      1.6336009442
   74      1.7218517329      1.6336009442
   75      1.7694849297      1.6857630704
   76      1.7694849297      1.6857630704
   77      1.7694849297      1.6857630704
   78      1.7694849297      1.6857630704
   79      1.7975958754      1.7114764512
   80      1.7576027946      1.6750139461
   81      1.7867733069      1.7070883932
   82      1.7803868201      1.7012502330
   83      1.7803868201      1.7012502330
   84      1.7803868201      1.7012502330
   85      1.7803868201      1.7012502330
   86      1.7803868201      1.7012502330
   87      1.8017811617      1.7244693561
   88      1.8040479746      1.7265415160
   89      1.8064886888      1.7287861887
   90      1.8064886888      1.7287861887
   91      1.8064886888      1.7287861887
   92      1.8255304252      1.7494037366
   93      1.8270025327      1.7510010215
   94      1.8270025327      1.7510010215
   95      1.7939026188      1.7203627916
   96      1.8112747613      1.7390934944
   97      1.8321183895      1.7583724736
   98      1.8321183895      1.7583724736
   99      1.8454618513      1.7707408835
  100      1.8454618513      1.7707408835
  101      1.8454618513      1.7707408835
  102      1.9167412459      1.8370160987
  103      1.8713911637      1.7948263436
  104      1.8713911637      1.7948263436
  105      1.8713911637      1.7948263436
  106      1.8811463337      1.8052775313
  107      1.8811463337      1.8052775313
  108      1.8795201530      1.8037590394
  109      1.8851843850      1.8090300892
  110      1.8851843850      1.8090300892
  111      1.9080027366      1.8334617197
  112      1.9080027366      1.8334617197
  113      1.9080027366      1.8334617197
  114      1.9080027366      1.8334617197
  115      2.0246151058      1.9422038263
  116      2.0316514299      1.9497435345
  117      2.0316514299      1.9497435345
  118      2.0316478649      1.9497397113
  119      2.0316478649      1.9497397113
  120      2.0421004325      1.9609174759
  121      2.0421004325      1.9609174759
  122      2.0417338133      1.9605271375
  123      2.0417338133      1.9605271375
  124      2.0519117365      1.9700443451
  125      2.0519117365      1.9700443451
  126      2.0261165994      1.9459160420
  127      2.0175278069      1.9378890837
  128      2.0175278069      1.9378890837
  129      2.0300575058      1.9512507537
  130      2.0300575058      1.9512507537
  131      2.0316040319      1.9527023267
  132      2.0316040319      1.9527023267
  133      1.9630948928      1.8884271518
  134      1.9712928522      1.8971773937
  135      1.9712928522      1.8971773937
  136      1.9712928522      1.8971773937
  137      2.0141970330      1.9373992508
  138      2.0141970330      1.9373992508
  139      2.0141970330      1.9373992508
  140      1.9535751764      1.8804278807
  141      1.9535751764      1.8804278807
  142      1.9542709920      1.8811700647
  143      1.9542709920      1.8811700647
  144      1.9569394278      1.8840095646
  145      1.9569394278      1.8840095646
  146      1.9774489348      1.9032927908
  147      1.9849810786      1.9113080438
  148      1.9849810786      1.9113080438
  149      1.9844356843      1.9107958016
  150      1.9844356843      1.9107958016
  151      1.9570313546      1.8849817041
  152      1.9596813364      1.8877925916
  153      1.9596813364      1.8877925916
  154      1.9596813364      1.8877925916
  155      1.9596813364      1.8877925916
  156      1.9532794771      1.8817534516
  157      1.9514023831      1.8799819090
  158      1.9408073158      1.8687930640
  159      1.9408073158      1.8687930640
  160      1.9458721432      1.8741710150
  161      1.9458721432      1.8741710150
  162      1.9458721432      1.8741710150
  163      1.9440301007      1.8724335005
  164      1.9297232006      1.8589306063
  165      1.9297232006      1.8589306063
  166      1.9297232006      1.8589306063
  167      1.9390974459      1.8688372728
  168      1.9390974459      1.8688372728
  169      1.9400521167      1.8698477482
  170      1.9400521167      1.8698477482
  171      1.9455418668      1.8750414968
  172      1.9450180196      1.8745458028
  173      1.9450180196      1.8745458028
  174      1.9670302955      1.8977925585
  175      1.9670302955      1.8977925585
  176      1.9585144890      1.8897446363
  177      1.9585144890      1.8897446363
  178      1.9585144890      1.8897446363
  179      1.9585144890      1.8897446363
  180      1.9512852871      1.8821207271
  181      1.9517750184      1.8825841802
  182      1.9517750184      1.8825841802
  183      1.9524107483      1.8832543518
  184      1.9524107483      1.8832543518
  185      1.9353829816      1.8671107255
  186      1.9353829816      1.8671107255
  187      1.9215608900      1.8525290292
  188      1.9215608900      1.8525290292
  189      1.9215608900      1.8525290292
  190      1.9134875780      1.8448764997
  191      1.9134875780      1.8448764997
  192      1.9134875780      1.8448764997
  193      1.9134875780      1.8448764997
  194      1.9116307965      1.8431142583
  195      1.9116307965      1.8431142583
  196      1.8952182405      1.8275362579
  197      1.9001680929      1.8322339959
  198      1.9038929699      1.8361493307
  199      1.9038929699      1.8361493307
  200      1.9038929699      1.8361493307
