File_number	Voc	Jsc	PCE	FF	Rsh	Rs
1-1.txt	0.8410 	27.2750 	0.1285 	0.5603 	16446.9914 	7.6535 
1-1fs.txt	0.7960 	27.1000 	0.1185 	0.5492 	39315.0685 	7.7694 
1-2.txt	0.8470 	28.0000 	0.1399 	0.5900 	7873.7997 	6.5732 
1-2-2.txt	0.8390 	28.1000 	0.1381 	0.5858 	4644.0129 	6.5535 
1-2fs.txt	0.7820 	27.9500 	0.1204 	0.5509 	7238.3354 	7.2248 
1-3.txt	0.8260 	28.2750 	0.1283 	0.5495 	48644.0678 	7.5510 
1-3-2.txt	0.8210 	28.2250 	0.1278 	0.5517 	12344.0860 	7.2523 
1-3fs.txt	0.7710 	28.3000 	0.1168 	0.5353 	11321.4990 	7.7507 
1-4.txt	0.8170 	24.7225 	0.1102 	0.5457 	5439.7271 	8.4653 
1-4-2.txt	0.8150 	24.7425 	0.1111 	0.5509 	33026.4672 	8.3800 
1-4fs.txt	0.7680 	24.8700 	0.1027 	0.5377 	4454.1010 	8.2330 
1-5.txt	0.8370 	25.0750 	0.1187 	0.5654 	208727.2727 	8.0662 
1-5fs.txt	0.7830 	25.1000 	0.1066 	0.5424 	15409.3960 	8.7064 
1-6.txt	0.7800 	25.0750 	0.1097 	0.5608 	11352.8481 	8.0334 
2-1.txt	0.8480 	28.6750 	0.1392 	0.5725 	8367.3469 	7.1623 
2-1fs.txt	0.8030 	28.6000 	0.1306 	0.5688 	4180.6264 	7.0269 
2-2.txt	0.8650 	28.9500 	0.1503 	0.6001 	50796.4602 	6.5683 
2-2-2.txt	0.8450 	28.3750 	0.1409 	0.5875 	6252.7233 	6.9055 
2-2-3.txt	0.8800 	24.8125 	0.1423 	0.6517 	8743.3359 	5.5929 
2-2fs.txt	0.8250 	28.9000 	0.1400 	0.5874 	23145.1613 	6.6448 
2-3.txt	0.9170 	28.3500 	0.1668 	0.6416 	9440.7895 	6.0328 
2-3-2.txt	0.9090 	28.2000 	0.1683 	0.6566 	12161.0170 	5.4249 
2-3fs.txt	0.8510 	28.3000 	0.1504 	0.6244 	185161.2903 	5.6041 
2-4.txt	0.8850 	24.8200 	0.1416 	0.6448 	4125.0449 	6.0348 
2-4-2.txt	0.8850 	24.8600 	0.1438 	0.6534 	19281.1555 	5.8374 
