File_number	Voc	Jsc	PCE	FF	Rsh	Rs
1-1-2.txt	0.847	25.025	0.12973	0.61206	50528.16901	6.36497
1-1.txt	0.846	24.8975	0.1275	0.60534	15751.92097	6.79415
1-1fs.txt	0.797	24.79	0.12034	0.60908	6040.19783	6.4915
1-2.txt	0.777	25.725	0.1083	0.54182	39047.61905	7.48107
1-3-2.txt	0.846	25.275	0.13136	0.61431	26330.27523	5.44863
1-3.txt	0.856	25.35	0.13095	0.60347	14172.83951	5.66661
1-3fs.txt	0.793	25.025	0.11622	0.58562	8710.16692	6.05264
1-4-2.txt	0.851	26.45	0.13294	0.59061	6434.97758	6.5966
1-4.txt	0.848	26.55	0.12939	0.57472	6833.33333	6.96488
1-4fs.txt	0.803	26.35	0.12371	0.58468	36794.87179	6.42096
1-5.txt	0.803	27.425	0.12284	0.5578	44843.75	7.1474
1-5fs.txt	0.781	27.325	0.11993	0.56199	6035.75184	6.59326
1-6-2.txt	0.829	27.75	0.12617	0.54844	27075.4717	8.71004
1-6.txt	0.828	27.55	0.12214	0.53542	18697.0684	9.05662
1-6fs.txt	0.781	27.425	0.11406	0.5325	6384.87208	8.95275
10-2.txt	1.04	7.35	0.09002	1.17759	31521.14223	15.38669
10-3-2.txt	1.052	6.825	0.08598	1.19754	22923.32268	14.59508
10-3.txt	1.062	8.4725	0.11679	1.29802	6168.72649	11.43883
10-3fs.txt	0.889	6.7575	0.02194	0.36523	1758.68619	55.14883
10-4.txt	1.053	6.0425	0.07965	1.25182	31195.65217	16.01698
10-5.txt	1.047	8.41	0.10174	1.15546	37272.72727	14.15333
11-1.txt	1.031	25.9	0.12592	0.47156	5106.76157	11.40348
11-1fs.txt	1.048	25.15	0.13929	0.52848	2256.28931	21.11866
11-2-2.txt	1.051	27.45	0.16143	0.55956	9273.021	12.84365
11-2.txt	1.05	27.65	0.15402	0.53049	4831.64983	12.29219
11-2fs.txt	1.054	26.325	0.16129	0.58131	1875.20418	17.07504
11-3-2.txt	1.064	29.825	0.21572	0.67977	5147.98206	7.81076
11-3.txt	1.069	28.35	0.21331	0.70385	24219.40928	10.1212
11-3fs.txt	1.061	28.25	0.1965	0.65557	47438.01653	11.89963
11-4-2.txt	1.061	24.525	0.17206	0.66124	3461.58485	10.33538
11-4.txt	1.064	24.725	0.17375	0.66045	5506.52341	9.89203
11-4fs.txt	1.059	24.015	0.18093	0.71142	2490.77891	14.6488
11-5-2.txt	1.058	24.49	0.14806	0.57144	12732.91925	12.54863
11-5.txt	1.056	24.475	0.14672	0.56767	9773.53993	11.82673
11-5fs.txt	1.055	23.2725	0.15109	0.61537	3258.95645	19.36962
11-6.txt	1.043	21.0125	0.08265	0.37711	2074.52384	18.03516
11-6fs.txt	1.039	19.4025	0.08555	0.42438	1359.31987	33.09182
2-1.txt	0.861	30.2	0.16643	0.64007	6471.25141	4.50015
2-1fs.txt	0.803	29.475	0.14598	0.61678	5106.76157	4.8898
2-2.txt	0.849	30.175	0.16415	0.64076	4614.14791	4.06847
2-2fs.txt	0.793	30	0.14753	0.62015	15726.0274	4.30424
2-3-2.txt	0.866	29.225	0.17501	0.69151	7211.05528	4.0778
2-3.txt	0.86	29.575	0.16988	0.66789	9965.27778	4.85676
2-3fs.txt	0.799	29.325	0.15074	0.64336	6932.36715	4.94762
2-4-2.txt	0.87	23.8175	0.15042	0.7259	129279.2793	4.23675
2-4.txt	0.871	23.685	0.14606	0.70799	5308.91602	4.22739
2-4fs.txt	0.795	24.3925	0.12405	0.63971	10505.12445	5.34067
2-5.txt	0.839	23.05	0.1219	0.63032	10357.27174	5.66297
2-5fs.txt	0.785	22.905	0.109	0.60622	204270.4626	6.28654
2-6.txt	0.838	23.365	0.12835	0.6555	8791.54541	5.18692
2-6fs.txt	0.779	23.095	0.10685	0.5939	10854.76551	6.45005
